type	file_id	md5sum	file_status	file_description	file_format	file_type	file_name	file_location	study_subject.study_subject_id	file_size
file	file_id_1	0	uploaded	Gene expression data	tsv	text	GeneExp_file_id_1.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_1.txt	study_subject_id_18	459827
file	file_id_2	1	uploaded	Gene expression data	tsv	text	GeneExp_file_id_2.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_2.txt	study_subject_id_37	459843
file	file_id_3	2	uploaded	Gene expression data	tsv	text	GeneExp_file_id_3.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_3.txt	study_subject_id_19	459797
file	file_id_4	3	uploaded	Gene expression data	tsv	text	GeneExp_file_id_4.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_4.txt	study_subject_id_20	459817
file	file_id_5	4	uploaded	Gene expression data	tsv	text	GeneExp_file_id_5.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_5.txt	study_subject_id_21	459891
file	file_id_6	5	uploaded	Gene expression data	tsv	text	GeneExp_file_id_6.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_6.txt	study_subject_id_22	459868
file	file_id_7	6	uploaded	Gene expression data	tsv	text	GeneExp_file_id_7.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_7.txt	study_subject_id_23	459772
file	file_id_8	7	uploaded	Gene expression data	tsv	text	GeneExp_file_id_8.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_8.txt	study_subject_id_25	459863
file	file_id_9	8	uploaded	Gene expression data	tsv	text	GeneExp_file_id_9.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_9.txt	study_subject_id_26	459770
file	file_id_10	9	uploaded	Gene expression data	tsv	text	GeneExp_file_id_10.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_10.txt	study_subject_id_27	459853
file	file_id_11	10	uploaded	Gene expression data	tsv	text	GeneExp_file_id_11.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_11.txt	study_subject_id_28	459868
file	file_id_12	11	uploaded	Gene expression data	tsv	text	GeneExp_file_id_12.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_12.txt	study_subject_id_29	459861
file	file_id_13	12	uploaded	Gene expression data	tsv	text	GeneExp_file_id_13.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_13.txt	study_subject_id_30	459808
file	file_id_14	13	uploaded	Gene expression data	tsv	text	GeneExp_file_id_14.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_14.txt	study_subject_id_31	459907
file	file_id_15	14	uploaded	Gene expression data	tsv	text	GeneExp_file_id_15.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_15.txt	study_subject_id_32	459886
file	file_id_16	15	uploaded	Gene expression data	tsv	text	GeneExp_file_id_16.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_16.txt	study_subject_id_33	459820
file	file_id_17	16	uploaded	Gene expression data	tsv	text	GeneExp_file_id_17.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_17.txt	study_subject_id_34	459832
file	file_id_18	17	uploaded	Gene expression data	tsv	text	GeneExp_file_id_18.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_18.txt	study_subject_id_36	459846
file	file_id_19	18	uploaded	Gene expression data	tsv	text	GeneExp_file_id_19.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_19.txt	study_subject_id_38	459860
file	file_id_20	19	uploaded	Gene expression data	tsv	text	GeneExp_file_id_20.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_20.txt	study_subject_id_39	459825
file	file_id_21	20	uploaded	Gene expression data	tsv	text	GeneExp_file_id_21.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_21.txt	study_subject_id_41	459833
file	file_id_22	21	uploaded	Gene expression data	tsv	text	GeneExp_file_id_22.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_22.txt	study_subject_id_42	459814
file	file_id_23	22	uploaded	Gene expression data	tsv	text	GeneExp_file_id_23.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_23.txt	study_subject_id_43	459825
file	file_id_24	23	uploaded	Gene expression data	tsv	text	GeneExp_file_id_24.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_24.txt	study_subject_id_44	459956
file	file_id_25	24	uploaded	Gene expression data	tsv	text	GeneExp_file_id_25.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_25.txt	study_subject_id_45	459837
file	file_id_26	25	uploaded	Gene expression data	tsv	text	GeneExp_file_id_26.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_26.txt	study_subject_id_46	459842
file	file_id_27	26	uploaded	Gene expression data	tsv	text	GeneExp_file_id_27.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_27.txt	study_subject_id_47	459852
file	file_id_28	27	uploaded	Gene expression data	tsv	text	GeneExp_file_id_28.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_28.txt	study_subject_id_48	459872
file	file_id_29	28	uploaded	Gene expression data	tsv	text	GeneExp_file_id_29.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_29.txt	study_subject_id_49	459822
file	file_id_30	29	uploaded	Gene expression data	tsv	text	GeneExp_file_id_30.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_30.txt	study_subject_id_50	459838
file	file_id_31	30	uploaded	Gene expression data	tsv	text	GeneExp_file_id_31.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_31.txt	study_subject_id_52	459856
file	file_id_32	31	uploaded	Gene expression data	tsv	text	GeneExp_file_id_32.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_32.txt	study_subject_id_53	459841
file	file_id_33	32	uploaded	Gene expression data	tsv	text	GeneExp_file_id_33.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_33.txt	study_subject_id_54	459807
file	file_id_34	33	uploaded	Gene expression data	tsv	text	GeneExp_file_id_34.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_34.txt	study_subject_id_55	459797
file	file_id_35	34	uploaded	Gene expression data	tsv	text	GeneExp_file_id_35.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_35.txt	study_subject_id_56	459778
file	file_id_36	35	uploaded	Gene expression data	tsv	text	GeneExp_file_id_36.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_36.txt	study_subject_id_57	459851
file	file_id_37	36	uploaded	Gene expression data	tsv	text	GeneExp_file_id_37.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_37.txt	study_subject_id_58	459789
file	file_id_38	37	uploaded	Gene expression data	tsv	text	GeneExp_file_id_38.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_38.txt	study_subject_id_59	459848
file	file_id_39	38	uploaded	Gene expression data	tsv	text	GeneExp_file_id_39.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_39.txt	study_subject_id_60	459824
file	file_id_40	39	uploaded	Gene expression data	tsv	text	GeneExp_file_id_40.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_40.txt	study_subject_id_61	459808
file	file_id_41	40	uploaded	Gene expression data	tsv	text	GeneExp_file_id_41.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_41.txt	study_subject_id_62	459884
file	file_id_42	41	uploaded	Gene expression data	tsv	text	GeneExp_file_id_42.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_42.txt	study_subject_id_63	459836
file	file_id_43	42	uploaded	Gene expression data	tsv	text	GeneExp_file_id_43.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_43.txt	study_subject_id_64	459790
file	file_id_44	43	uploaded	Gene expression data	tsv	text	GeneExp_file_id_44.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_44.txt	study_subject_id_65	459834
file	file_id_45	44	uploaded	Gene expression data	tsv	text	GeneExp_file_id_45.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_45.txt	study_subject_id_66	459755
file	file_id_46	45	uploaded	Gene expression data	tsv	text	GeneExp_file_id_46.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_46.txt	study_subject_id_67	459813
file	file_id_47	46	uploaded	Gene expression data	tsv	text	GeneExp_file_id_47.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_47.txt	study_subject_id_16	459826
file	file_id_48	47	uploaded	Gene expression data	tsv	text	GeneExp_file_id_48.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_48.txt	study_subject_id_17	459803
file	file_id_49	48	uploaded	Gene expression data	tsv	text	GeneExp_file_id_49.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_49.txt	study_subject_id_70	460004
file	file_id_50	49	uploaded	Gene expression data	tsv	text	GeneExp_file_id_50.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_50.txt	study_subject_id_71	460056
file	file_id_51	50	uploaded	Gene expression data	tsv	text	GeneExp_file_id_51.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_51.txt	study_subject_id_72	460080
file	file_id_52	51	uploaded	Gene expression data	tsv	text	GeneExp_file_id_52.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_52.txt	study_subject_id_73	460109
file	file_id_53	52	uploaded	Gene expression data	tsv	text	GeneExp_file_id_53.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_53.txt	study_subject_id_74	460114
file	file_id_54	53	uploaded	Gene expression data	tsv	text	GeneExp_file_id_54.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_54.txt	study_subject_id_75	460135
file	file_id_55	54	uploaded	Gene expression data	tsv	text	GeneExp_file_id_55.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_55.txt	study_subject_id_76	460051
file	file_id_56	55	uploaded	Gene expression data	tsv	text	GeneExp_file_id_56.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_56.txt	study_subject_id_78	459999
file	file_id_57	56	uploaded	Gene expression data	tsv	text	GeneExp_file_id_57.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_57.txt	study_subject_id_79	460023
file	file_id_58	57	uploaded	Gene expression data	tsv	text	GeneExp_file_id_58.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_58.txt	study_subject_id_80	460075
file	file_id_59	58	uploaded	Gene expression data	tsv	text	GeneExp_file_id_59.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_59.txt	study_subject_id_81	460038
file	file_id_60	59	uploaded	Gene expression data	tsv	text	GeneExp_file_id_60.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_60.txt	study_subject_id_83	460027
file	file_id_61	60	uploaded	Gene expression data	tsv	text	GeneExp_file_id_61.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_61.txt	study_subject_id_84	460120
file	file_id_62	61	uploaded	Gene expression data	tsv	text	GeneExp_file_id_62.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_62.txt	study_subject_id_85	460063
file	file_id_63	62	uploaded	Gene expression data	tsv	text	GeneExp_file_id_63.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_63.txt	study_subject_id_87	459942
file	file_id_64	63	uploaded	Gene expression data	tsv	text	GeneExp_file_id_64.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_64.txt	study_subject_id_88	460058
file	file_id_65	64	uploaded	Gene expression data	tsv	text	GeneExp_file_id_65.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_65.txt	study_subject_id_89	460158
file	file_id_66	65	uploaded	Gene expression data	tsv	text	GeneExp_file_id_66.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_66.txt	study_subject_id_90	460110
file	file_id_67	66	uploaded	Gene expression data	tsv	text	GeneExp_file_id_67.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_67.txt	study_subject_id_91	460110
file	file_id_68	67	uploaded	Gene expression data	tsv	text	GeneExp_file_id_68.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_68.txt	study_subject_id_92	459922
file	file_id_69	68	uploaded	Gene expression data	tsv	text	GeneExp_file_id_69.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_69.txt	study_subject_id_93	460006
file	file_id_70	69	uploaded	Gene expression data	tsv	text	GeneExp_file_id_70.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_70.txt	study_subject_id_95	459913
file	file_id_71	70	uploaded	Gene expression data	tsv	text	GeneExp_file_id_71.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_71.txt	study_subject_id_97	460057
file	file_id_72	71	uploaded	Gene expression data	tsv	text	GeneExp_file_id_72.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_72.txt	study_subject_id_99	459929
file	file_id_73	72	uploaded	Gene expression data	tsv	text	GeneExp_file_id_73.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_73.txt	study_subject_id_101	460127
file	file_id_74	73	uploaded	Gene expression data	tsv	text	GeneExp_file_id_74.txt	s3://bento-files/OPEN_ACCESS/GeneExp_file_id_74.txt	study_subject_id_102	460119
