type	study_subject_id	SUBJECT_ID
study_subject	study_subject_id_15	860772
study_subject	study_subject_id_1	3089254
study_subject	study_subject_id_2	3495697
study_subject	study_subject_id_3	3497265
study_subject	study_subject_id_4	3504050
study_subject	study_subject_id_5	3506280
study_subject	study_subject_id_6	3512529
study_subject	study_subject_id_7	3513138
study_subject	study_subject_id_8	3513467
study_subject	study_subject_id_9	3514945
study_subject	study_subject_id_10	3522254
study_subject	study_subject_id_11	3523498
study_subject	study_subject_id_12	3525342
study_subject	study_subject_id_13	3822538
study_subject	study_subject_id_14	81668782
study_subject	study_subject_id_18	900_00_1961
study_subject	study_subject_id_37	900_00_53_32
study_subject	study_subject_id_19	900_00_5308
study_subject	study_subject_id_20	900_00_5315
study_subject	study_subject_id_21	900_00_5316
study_subject	study_subject_id_22	900_00_5317
study_subject	study_subject_id_23	900_00_5338
study_subject	study_subject_id_24	900_00_5339
study_subject	study_subject_id_25	900_00_5341
study_subject	study_subject_id_26	900_00_5342
study_subject	study_subject_id_27	900_00_5345
study_subject	study_subject_id_28	900_00_5346
study_subject	study_subject_id_29	900_00_5379
study_subject	study_subject_id_30	900_00_5380
study_subject	study_subject_id_31	900_00_5381
study_subject	study_subject_id_32	900_00_5382
study_subject	study_subject_id_33	900_00_5384
study_subject	study_subject_id_34	900_00_5385
study_subject	study_subject_id_35	900_00_5393
study_subject	study_subject_id_36	900_00_5396
study_subject	study_subject_id_38	900_00_5404
study_subject	study_subject_id_39	900_00_5404_B
study_subject	study_subject_id_40	900_00_5406
study_subject	study_subject_id_41	900_00_5412
study_subject	study_subject_id_42	900_00_5413
study_subject	study_subject_id_43	900_00_5414
study_subject	study_subject_id_44	900_00_5445
study_subject	study_subject_id_45	900_00_5458
study_subject	study_subject_id_46	900_00_5459
study_subject	study_subject_id_47	900_00_5462
study_subject	study_subject_id_48	900_00_5468
study_subject	study_subject_id_49	900_00_5476
study_subject	study_subject_id_50	900_00_5477
study_subject	study_subject_id_51	900_00_5487
study_subject	study_subject_id_52	900_00_5488
study_subject	study_subject_id_53	900_00_5489
study_subject	study_subject_id_54	900_00_5540
study_subject	study_subject_id_55	900_00_5541
study_subject	study_subject_id_56	900_00_5542
study_subject	study_subject_id_57	900_00_5543
study_subject	study_subject_id_58	900_00_5544
study_subject	study_subject_id_59	900_00_5545
study_subject	study_subject_id_60	900_00_5546
study_subject	study_subject_id_61	900_00_5547
study_subject	study_subject_id_62	900_00_5548
study_subject	study_subject_id_63	900_00_5549
study_subject	study_subject_id_64	900_00_5550
study_subject	study_subject_id_65	900_00_5551
study_subject	study_subject_id_66	900_00_5552
study_subject	study_subject_id_67	900_00_5554
study_subject	study_subject_id_68	900_00_5561
study_subject	study_subject_id_69	900_00_5562
study_subject	study_subject_id_16	900_0052_99
study_subject	study_subject_id_17	900_0053_03
study_subject	study_subject_id_70	E07733
study_subject	study_subject_id_71	E08021
study_subject	study_subject_id_72	E09137
study_subject	study_subject_id_73	E09138
study_subject	study_subject_id_74	E09139
study_subject	study_subject_id_75	E09151
study_subject	study_subject_id_76	E09167
study_subject	study_subject_id_77	E09176
study_subject	study_subject_id_78	E09192
study_subject	study_subject_id_79	E09212
study_subject	study_subject_id_80	E09214
study_subject	study_subject_id_81	E09231
study_subject	study_subject_id_82	E09232
study_subject	study_subject_id_83	E09233
study_subject	study_subject_id_84	E09238
study_subject	study_subject_id_85	E09239
study_subject	study_subject_id_86	E09261
study_subject	study_subject_id_87	E09262
study_subject	study_subject_id_88	E09263
study_subject	study_subject_id_89	E09264
study_subject	study_subject_id_90	E09278
study_subject	study_subject_id_91	E09289
study_subject	study_subject_id_92	E09296
study_subject	study_subject_id_93	E09331
study_subject	study_subject_id_94	E09332
study_subject	study_subject_id_95	E09334
study_subject	study_subject_id_96	E09336
study_subject	study_subject_id_97	E09348
study_subject	study_subject_id_98	E09355
study_subject	study_subject_id_99	E09358
study_subject	study_subject_id_100	E09362
study_subject	study_subject_id_101	E09369
study_subject	study_subject_id_102	E09378
study_subject	study_subject_id_103	E09393
study_subject	study_subject_id_104	E09394
study_subject	study_subject_id_105	E09397
study_subject	study_subject_id_106	E09398
study_subject	study_subject_id_107	E09405
study_subject	study_subject_id_108	E09408
study_subject	study_subject_id_109	E09419
study_subject	study_subject_id_110	E09430
study_subject	study_subject_id_111	E09440
study_subject	study_subject_id_112	E09446
study_subject	study_subject_id_113	E09448
study_subject	study_subject_id_114	E09449
study_subject	study_subject_id_115	E09451
study_subject	study_subject_id_116	E09454
study_subject	study_subject_id_117	E09467
study_subject	study_subject_id_118	E09471
study_subject	study_subject_id_119	E09478
study_subject	study_subject_id_120	E09483
study_subject	study_subject_id_121	E09489
study_subject	study_subject_id_122	E09494
study_subject	study_subject_id_123	E09495
study_subject	study_subject_id_124	E09503
study_subject	study_subject_id_125	E09511
study_subject	study_subject_id_126	E09513
study_subject	study_subject_id_127	E09515
study_subject	study_subject_id_128	E09531
study_subject	study_subject_id_129	E09535
study_subject	study_subject_id_130	E09542
study_subject	study_subject_id_131	E09546
study_subject	study_subject_id_132	E09569
study_subject	study_subject_id_133	E09587
study_subject	study_subject_id_134	E09595
study_subject	study_subject_id_135	E09601
study_subject	study_subject_id_136	E09602
study_subject	study_subject_id_137	E09605
study_subject	study_subject_id_138	E09606
study_subject	study_subject_id_139	E09607
study_subject	study_subject_id_140	E09610
study_subject	study_subject_id_141	E09611
study_subject	study_subject_id_142	E09615
study_subject	study_subject_id_143	E09622
study_subject	study_subject_id_144	E09623
study_subject	study_subject_id_145	E09624
study_subject	study_subject_id_146	E09629
study_subject	study_subject_id_147	E09641
study_subject	study_subject_id_148	E09644
study_subject	study_subject_id_149	E09645
study_subject	study_subject_id_150	E09646
study_subject	study_subject_id_151	E09647
study_subject	study_subject_id_152	E09649
study_subject	study_subject_id_153	E09654
study_subject	study_subject_id_154	E09655
study_subject	study_subject_id_155	E09656
study_subject	study_subject_id_156	E09657
study_subject	study_subject_id_157	E09661
study_subject	study_subject_id_158	E09664
study_subject	study_subject_id_159	E09668
study_subject	study_subject_id_160	E09670
study_subject	study_subject_id_161	E09673
study_subject	study_subject_id_162	E09679
study_subject	study_subject_id_163	E09680
study_subject	study_subject_id_164	E09681
study_subject	study_subject_id_165	E09688
study_subject	study_subject_id_166	E09690
study_subject	study_subject_id_167	E09698
study_subject	study_subject_id_168	E09699
study_subject	study_subject_id_169	E09704
study_subject	study_subject_id_170	E09708
study_subject	study_subject_id_171	E09722
study_subject	study_subject_id_172	E09730
study_subject	study_subject_id_173	E09735
study_subject	study_subject_id_174	E09740
study_subject	study_subject_id_175	E09742
study_subject	study_subject_id_176	E09743
study_subject	study_subject_id_177	E09744
study_subject	study_subject_id_178	E09752
study_subject	study_subject_id_179	E09755
study_subject	study_subject_id_180	E09756
study_subject	study_subject_id_181	E09759
study_subject	study_subject_id_182	E09770
study_subject	study_subject_id_183	E09774
study_subject	study_subject_id_184	E09782
study_subject	study_subject_id_185	E09785
study_subject	study_subject_id_186	E09786
study_subject	study_subject_id_187	E09787
study_subject	study_subject_id_188	E09791
study_subject	study_subject_id_189	E09797
study_subject	study_subject_id_190	E09800
study_subject	study_subject_id_191	E09801
study_subject	study_subject_id_192	E09802
study_subject	study_subject_id_193	E09803
study_subject	study_subject_id_194	E09804
study_subject	study_subject_id_195	E09810
study_subject	study_subject_id_196	E09811
study_subject	study_subject_id_197	E09818
study_subject	study_subject_id_198	E09819
study_subject	study_subject_id_199	E09825
study_subject	study_subject_id_200	E09826
study_subject	study_subject_id_201	E09829
study_subject	study_subject_id_202	E09832
study_subject	study_subject_id_203	E09833
study_subject	study_subject_id_204	E09834
study_subject	study_subject_id_205	E09835
study_subject	study_subject_id_206	E09842
study_subject	study_subject_id_207	E09846
study_subject	study_subject_id_208	E09847
study_subject	study_subject_id_209	E09848
study_subject	study_subject_id_210	E09852
study_subject	study_subject_id_211	E09855
study_subject	study_subject_id_212	E09857
study_subject	study_subject_id_213	E09858
study_subject	study_subject_id_214	E09860
study_subject	study_subject_id_215	E09862
study_subject	study_subject_id_216	E09867
study_subject	study_subject_id_217	E09868
study_subject	study_subject_id_218	E09869
study_subject	study_subject_id_219	E09871
study_subject	study_subject_id_220	E09880
study_subject	study_subject_id_221	E09885
study_subject	study_subject_id_222	E09888
study_subject	study_subject_id_223	E09890
study_subject	study_subject_id_224	E09891
study_subject	study_subject_id_225	E09892
study_subject	study_subject_id_226	E09893
study_subject	study_subject_id_227	E09894
study_subject	study_subject_id_228	E09896
study_subject	study_subject_id_229	E09899
study_subject	study_subject_id_230	E09900
study_subject	study_subject_id_231	E09902
study_subject	study_subject_id_232	E09906
study_subject	study_subject_id_233	E09907
study_subject	study_subject_id_234	E09910
study_subject	study_subject_id_235	E09914
study_subject	study_subject_id_236	E09916
study_subject	study_subject_id_237	E09917
study_subject	study_subject_id_238	E09920
study_subject	study_subject_id_239	E09921
study_subject	study_subject_id_240	E09922
study_subject	study_subject_id_241	E09923
study_subject	study_subject_id_242	E09924
study_subject	study_subject_id_243	E09928
study_subject	study_subject_id_244	E09930
study_subject	study_subject_id_245	E09931
study_subject	study_subject_id_246	E09932
study_subject	study_subject_id_247	E09933
study_subject	study_subject_id_248	E09935
study_subject	study_subject_id_249	E09936
study_subject	study_subject_id_250	E09937
study_subject	study_subject_id_251	E09938
study_subject	study_subject_id_252	E09941
study_subject	study_subject_id_253	E09945
study_subject	study_subject_id_254	E09948
study_subject	study_subject_id_255	E09949
study_subject	study_subject_id_256	E09951
study_subject	study_subject_id_257	E09955
study_subject	study_subject_id_258	E09956
study_subject	study_subject_id_259	E09957
study_subject	study_subject_id_260	E09958
study_subject	study_subject_id_261	E09959
study_subject	study_subject_id_262	E09960
study_subject	study_subject_id_263	E09963
study_subject	study_subject_id_264	E09964
study_subject	study_subject_id_265	E09965
study_subject	study_subject_id_266	E09966
study_subject	study_subject_id_267	E09967
study_subject	study_subject_id_268	E09971
study_subject	study_subject_id_269	E09975
study_subject	study_subject_id_270	E09976
study_subject	study_subject_id_271	E09978
study_subject	study_subject_id_272	E09979
study_subject	study_subject_id_273	E09982
study_subject	study_subject_id_274	E09983
study_subject	study_subject_id_275	E09985
study_subject	study_subject_id_276	E09987
study_subject	study_subject_id_277	E09988
study_subject	study_subject_id_278	E09989
study_subject	study_subject_id_279	E09990
study_subject	study_subject_id_280	E09993
study_subject	study_subject_id_281	E09994
study_subject	study_subject_id_282	E09996
study_subject	study_subject_id_283	E09997
study_subject	study_subject_id_284	E09998
study_subject	study_subject_id_285	E10001
study_subject	study_subject_id_286	E10002
study_subject	study_subject_id_287	E10003
study_subject	study_subject_id_288	E10006
study_subject	study_subject_id_289	E10008
study_subject	study_subject_id_290	E10009
study_subject	study_subject_id_291	E10010
study_subject	study_subject_id_292	E10011
study_subject	study_subject_id_293	E10012
study_subject	study_subject_id_294	E10013
study_subject	study_subject_id_295	E10016
study_subject	study_subject_id_296	E10019
study_subject	study_subject_id_297	E10021
study_subject	study_subject_id_298	E10022
study_subject	study_subject_id_299	E10023
study_subject	study_subject_id_300	E10024
study_subject	study_subject_id_301	E10025
study_subject	study_subject_id_302	E10026
study_subject	study_subject_id_303	E10027
study_subject	study_subject_id_304	E10029
study_subject	study_subject_id_305	E10030
study_subject	study_subject_id_306	E10031
study_subject	study_subject_id_307	E10036
study_subject	study_subject_id_308	E10037
study_subject	study_subject_id_309	E10038
study_subject	study_subject_id_310	E10041
study_subject	study_subject_id_311	E10044
study_subject	study_subject_id_312	E10054
study_subject	study_subject_id_313	E10058
study_subject	study_subject_id_314	E10059
study_subject	study_subject_id_315	E10062
study_subject	study_subject_id_316	E10067
study_subject	study_subject_id_317	E10072
study_subject	study_subject_id_318	E10076
study_subject	study_subject_id_319	E10077
study_subject	study_subject_id_320	E10080
study_subject	study_subject_id_321	E10097
study_subject	study_subject_id_322	E10102
study_subject	study_subject_id_323	E10103
study_subject	study_subject_id_324	E10105
study_subject	study_subject_id_325	E10110
study_subject	study_subject_id_326	E10136
study_subject	study_subject_id_327	E10138
study_subject	study_subject_id_328	E10140
study_subject	study_subject_id_329	E10141
study_subject	study_subject_id_330	E10143
study_subject	study_subject_id_331	E10144
study_subject	study_subject_id_332	E10158
study_subject	study_subject_id_333	E10161
study_subject	study_subject_id_334	E10162
study_subject	study_subject_id_335	E10163
study_subject	study_subject_id_336	E10172
study_subject	study_subject_id_337	E10182
study_subject	study_subject_id_338	E10183
study_subject	study_subject_id_339	E10184
study_subject	study_subject_id_340	E10185
study_subject	study_subject_id_341	E10191
study_subject	study_subject_id_342	E10192
study_subject	study_subject_id_343	E10193
study_subject	study_subject_id_344	E10196
study_subject	study_subject_id_345	E10203
study_subject	study_subject_id_346	E10210
study_subject	study_subject_id_347	E10211
study_subject	study_subject_id_348	E10214
study_subject	study_subject_id_349	E10215
study_subject	study_subject_id_350	E10216
study_subject	study_subject_id_351	E10217
study_subject	study_subject_id_352	E10226
study_subject	study_subject_id_353	E10227
study_subject	study_subject_id_354	E10235
study_subject	study_subject_id_355	E10248
study_subject	study_subject_id_356	E10249
study_subject	study_subject_id_357	E10250
study_subject	study_subject_id_358	E10252
study_subject	study_subject_id_359	E10253
study_subject	study_subject_id_360	E10258
study_subject	study_subject_id_361	E10260
study_subject	study_subject_id_362	E10262
study_subject	study_subject_id_363	E10264
study_subject	study_subject_id_364	E10265
study_subject	study_subject_id_365	E10267
study_subject	study_subject_id_366	E10271
study_subject	study_subject_id_367	E10278
study_subject	study_subject_id_368	E10284
study_subject	study_subject_id_369	E10285
study_subject	study_subject_id_370	E10286
study_subject	study_subject_id_371	E10287
study_subject	study_subject_id_372	E10290
study_subject	study_subject_id_373	E10292
study_subject	study_subject_id_374	E10299
study_subject	study_subject_id_375	E10300
study_subject	study_subject_id_376	E10305
study_subject	study_subject_id_377	E10306
study_subject	study_subject_id_378	E10312
study_subject	study_subject_id_379	E10313
study_subject	study_subject_id_380	E10314
study_subject	study_subject_id_381	E10318
study_subject	study_subject_id_382	E10362
study_subject	study_subject_id_383	E10433
study_subject	study_subject_id_384	E10442
study_subject	study_subject_id_385	E10444
study_subject	study_subject_id_386	E10462
study_subject	study_subject_id_387	E10470
study_subject	study_subject_id_388	E10476
study_subject	study_subject_id_389	E10481
study_subject	study_subject_id_390	E10482
study_subject	study_subject_id_391	E10483
study_subject	study_subject_id_392	E10488
study_subject	study_subject_id_393	E10494
study_subject	study_subject_id_394	E10512
study_subject	study_subject_id_395	E10514
study_subject	study_subject_id_396	E10520
study_subject	study_subject_id_397	E10540
study_subject	study_subject_id_398	E10551
study_subject	study_subject_id_399	E10556
study_subject	study_subject_id_400	E10578
study_subject	study_subject_id_401	E10595
study_subject	study_subject_id_402	E10596
study_subject	study_subject_id_403	E10615
study_subject	study_subject_id_404	E10616
study_subject	study_subject_id_405	E10622
study_subject	study_subject_id_406	E10645
study_subject	study_subject_id_407	E10647
study_subject	study_subject_id_408	E10662
study_subject	study_subject_id_409	E10690
study_subject	study_subject_id_410	E10691
study_subject	study_subject_id_411	E10692
study_subject	study_subject_id_412	E10710
study_subject	study_subject_id_413	E10722
study_subject	study_subject_id_414	E10734
study_subject	study_subject_id_415	E10746
study_subject	study_subject_id_416	E10747
study_subject	study_subject_id_417	E10749
study_subject	study_subject_id_418	E10857
study_subject	study_subject_id_419	E10858
study_subject	study_subject_id_420	E10888
study_subject	study_subject_id_421	E10889
study_subject	study_subject_id_422	E10931
study_subject	study_subject_id_423	E10961
study_subject	study_subject_id_424	E11004
